Model,mAP50,mAP50-95,Inference_ms,Preprocess_ms,Postprocess_ms,Params_M,GFLOPs
Baseline,0.9009154563976812,0.7078152685451291,5.602668224325038,4.065245049093495,2.2859469190547146,7.3e-05,8.0851968
Custom_V1,0.8456086694427399,0.6262328845435885,4.388101281329375,5.776193484990406,3.2196295682878535,5.6e-05,6.5455103999999995
Custom_V2,0.8417958777554192,0.6236131956285595,3.7525089784074077,4.549006060169069,2.5491040732865176,5.5e-05,6.384947200000001
